晴空 晚照
來鴻 去燕
鳴蟲 宿鳥
江東 嶺北
人間 天上
一園 兩岸
曉煙 春雨
一蓑 兩鬢
風霜 煙雨
溪邊 途次
早行 晚釣
之翁 之客
黃童 白叟
江風 海霧
漁翁 牧子
遼東 冀北
池中 門外
漢皇 梁帝
講經 置酒
霜華 塵慮
縈心 滿鬢
羞看 懶撫
七弦 百煉
青銅 綠綺
溪童 野叟
鬢皤 眉綠
唇紅 齒皓
彎弓 佩劍
半溪 千樹
芳池 野渡
燕穿 魚戲
男兒 女子
眉纖 氣壯
晨鐘 暮鼓
觀山 玩水
蒼松 綠竹
鳴蛩 舞蝶
街泥 課密
秋天 春日
園中 寒外
巫山 秦嶺
雲橫 雨洗
嵯峨 迢遞
八千 十二
危峰 遠路
中庸 上智
鏡奩 衣笥
村舂 野杵
三冬 九夏
臺高 齋小
身披 手擘
蟹螯 鶴氅
三姑 五老
峰高 石大
響傳 秀插
雲霄 風雨
若金 如玉
羲農 禹舜
雪花 雲葉
芙蓉 芍藥
雕龍 繡虎
柳塘 花圃
秋風 春日
正宜 那更
逸民 戰士
邀功 適志
長江 巨海
蓉裳 蕙帳
銀釭 玉斝
金缸 寶劍
忠心 利口
桀王 世祖
中興 失道
春風 秋雨
瀟瀟 裊裊
扶疏 漫爛
黃花 綠竹
正盈 都滿
他邦 故國
千山 萬水
三江 九澤
鐘撞 鼓振
清風 皓月
道旁 陣上
倒戈 系劍
春風 夏日
池塘 簾幕
往來 出沿
浴波 營壘
燕雙 鷗對
湘江 華岳
朝車 禁鼓
寒缸 宿火
周邦 漢社
笙簫 鐘鼓
治中 主簿
棲鸞 展驥
莊周 蘇武
牧羊 活鮒
水必 雪屢
餐於 決於
西江 北海
鶯兒 燕子
栽花 種竹
游絲 落絮
鷺鷥 鴝鵒
半池 一架
一犁 幾陣
秋風 春雨
羊公 智伯
恩深 德大
邑人 國士
吞變 豎墮
淚之 形之
圍棋 舞劍
花箋 草字
毛錐 竹簡
熊羆 虎豹
花開 水漾
出妻 去婦
因探 為種
櫓聲 笛韻
和諧 咿軋
漁舟 仙管
恰從 正向
雪中 雲裏
黃鸝 紫燕
梅酸 李苦
白眉 青眼
風吹 雨打
海棠 楊柳
杜陵 張駿
曾為 不作
唐儒 晉士
特奇 博識
堪為 可比
一斑 五總
之龜 之豹
鶯飛 燕舞
風清 月朗
煙微 露重
漁磯 客路
晚霞 朝露
秋寒 夏暑
客思 婦念
夕陽 春水
才深 半落
綠莎 青草
岸邊 原上
牧童 漁父
乘肥 服美
珊瑚 玳瑁
珠璣 錦繡
紅稀 綠暗
窗前 簾外
周臻 漢致
太平 大定
斟滿 吟成
賞月 送春
之酒 之待
只愁 惟憾
春歸 月墮
龍旗 虎節
楊花 桂葉
朱衣 白簡
巍巍 蕩蕩
春暄 秋冷
治民 出使
振威 異等
命伊 燕我
弟兄 將帥
為歌 載詠
棣棠 楊柳
依依 韡韡
觀書 作賦
綠窗 朱戶
香車 寶馬
求魚 弋雁
分金 奉璧
回文 擲地
金聲 錦字
既逢 未遇
殷宗 周後
太公 胥靡
困傅 舍渭
水之 巖之
華裾 短褐
六朝 三國
石渠 天祿
相如 有若
花殘 藻密
小荷 落葉
舞風 浮水
恐彰 愛見
人長 已吝
誰知 共服
宣尼 阮裕
竟焚 休假
中書 內史
犁鋤 耒耜
郊墟 畎澮
安車 駟馬
青衣 黃耳
門前 庭畔
有人 無客
峰巒 波浪
拍船 繞舍
樂隱 駭舟
人之 者之
山居 水宿
金烏 玉兔
孤舟 短棹
雙鳧 一雁
楊朱 李白
秋霜 夜月
雪寒 日曖
園林 村舍
客居 人處
嶺南 江右
偶奪 善探
巨象 驪龍
頷下 口中
施朱 傅粉
名韁 利鎖
提壺 挈榼
郇廚 石帳
